Date,Close
"Aug 08, 2014",1.2592
"Aug 07, 2014",1.2576
"Aug 06, 2014",1.2573
"Aug 05, 2014",1.2552
"Aug 04, 2014",1.2544
"Aug 01, 2014",1.2544
"Jul 31, 2014",1.2553
"Jul 30, 2014",1.2558
"Jul 29, 2014",1.2539
"Jul 28, 2014",1.2525
"Jul 25, 2014",1.2516
"Jul 24, 2014",1.2511
"Jul 23, 2014",1.2506
"Jul 22, 2014",1.2481
"Jul 21, 2014",1.2482
"Jul 18, 2014",1.2487
"Jul 17, 2014",1.2500
"Jul 16, 2014",1.2492
"Jul 15, 2014",1.2484
"Jul 14, 2014",1.2489
"Jul 11, 2014",1.2492
"Jul 10, 2014",1.2496
"Jul 09, 2014",1.2529
"Jul 08, 2014",1.2499
"Jul 07, 2014",1.2490
"Jul 04, 2014",1.2492
"Jul 03, 2014",1.2477
"Jul 02, 2014",1.2475
"Jul 01, 2014",1.2495
"Jun 30, 2014",1.2492
"Jun 27, 2014",1.2466
"Jun 26, 2014",1.2453
"Jun 25, 2014",1.2433
"Jun 24, 2014",1.2439
"Jun 23, 2014",1.2464
"Jun 20, 2014",1.2455
"Jun 19, 2014",1.2443
"Jun 18, 2014",1.2442
"Jun 17, 2014",1.2450
"Jun 16, 2014",1.2448
"Jun 13, 2014",1.2482
"Jun 12, 2014",1.2467
"Jun 11, 2014",1.2449
"Jun 10, 2014",1.2452
"Jun 09, 2014",1.2425
"Jun 06, 2014",1.2402
"Jun 05, 2014",1.2439
"Jun 04, 2014",1.2405
"Jun 03, 2014",1.2397
"Jun 02, 2014",1.2410
"May 30, 2014",1.2407
"May 29, 2014",1.2428
"May 28, 2014",1.2400
"May 27, 2014",1.2396
"May 26, 2014",1.2436
"May 23, 2014",1.2435
"May 22, 2014",1.2433
"May 21, 2014",1.2435
"May 20, 2014",1.2430
"May 19, 2014",1.2431
"May 16, 2014",1.2434
"May 15, 2014",1.2444
"May 14, 2014",1.2445
"May 13, 2014",1.2446
"May 12, 2014",1.2428
"May 09, 2014",1.2448
"May 08, 2014",1.2447
"May 07, 2014",1.2434
"May 06, 2014",1.2452
"May 05, 2014",1.2413
"May 02, 2014",1.2387
"May 01, 2014",1.2387
"Apr 30, 2014",1.2386
"Apr 29, 2014",1.2390
"Apr 28, 2014",1.2398
"Apr 25, 2014",1.2398
"Apr 24, 2014",1.2405
"Apr 23, 2014",1.2428
"Apr 22, 2014",1.2429
"Apr 21, 2014",1.2447
"Apr 18, 2014",1.2433
"Apr 17, 2014",1.2464
"Apr 16, 2014",1.2468
"Apr 15, 2014",1.2462
"Apr 14, 2014",1.2468
"Apr 11, 2014",1.2482
"Apr 10, 2014",1.2478
"Apr 09, 2014",1.2504
"Apr 08, 2014",1.2513
"Apr 07, 2014",1.2483
"Apr 04, 2014",1.2491
"Apr 03, 2014",1.2490
"Apr 02, 2014",1.2481
"Apr 01, 2014",1.2495
"Mar 31, 2014",1.2476
"Mar 28, 2014",1.2485
"Mar 27, 2014",1.2487
"Mar 26, 2014",1.2491
"Mar 25, 2014",1.2503
"Mar 24, 2014",1.2519
"Mar 21, 2014",1.2460
"Mar 20, 2014",1.2468
"Mar 19, 2014",1.2528
"Mar 18, 2014",1.2542
"Mar 17, 2014",1.2570
"Mar 14, 2014",1.2632
"Mar 13, 2014",1.2655
"Mar 12, 2014",1.2634
"Mar 11, 2014",1.2644
"Mar 10, 2014",1.2644
"Mar 07, 2014",1.2671
"Mar 06, 2014",1.2685
"Mar 05, 2014",1.2663
"Mar 04, 2014",1.2635
"Mar 03, 2014",1.2627
"Feb 28, 2014",1.2622
"Feb 27, 2014",1.2664
"Feb 26, 2014",1.2669
"Feb 25, 2014",1.2672
"Feb 24, 2014",1.2723
"Feb 21, 2014",1.2730
"Feb 20, 2014",1.2750
"Feb 19, 2014",1.2759
"Feb 18, 2014",1.2780
"Feb 17, 2014",1.2789
"Feb 14, 2014",1.2781
"Feb 13, 2014",1.2790
"Feb 12, 2014",1.2795
"Feb 11, 2014",1.2797
"Feb 10, 2014",1.2800
"Feb 07, 2014",1.2792
"Feb 06, 2014",1.2805
"Feb 05, 2014",1.2806
"Feb 04, 2014",1.2809
"Feb 03, 2014",1.2813
"Jan 31, 2014",1.2809
"Jan 30, 2014",1.2815
"Jan 29, 2014",1.2819
"Jan 28, 2014",1.2831
"Jan 27, 2014",1.2842
"Jan 24, 2014",1.2833
"Jan 23, 2014",1.2817
"Jan 22, 2014",1.2819
"Jan 21, 2014",1.2815
"Jan 20, 2014",1.2817
"Jan 17, 2014",1.2822
"Jan 16, 2014",1.2804
"Jan 15, 2014",1.2819
"Jan 14, 2014",1.2836
"Jan 13, 2014",1.2833
"Jan 10, 2014",1.2820
"Jan 09, 2014",1.2810
"Jan 08, 2014",1.2810
"Jan 07, 2014",1.2814
"Jan 06, 2014",1.2809
"Jan 03, 2014",1.2813
"Jan 02, 2014",1.2814
"Jan 01, 2014",1.2824
"Dec 31, 2013",1.2821
"Dec 30, 2013",1.2796
"Dec 27, 2013",1.2787
"Dec 26, 2013",1.2789
"Dec 25, 2013",1.2763
"Dec 24, 2013",1.2777
"Dec 23, 2013",1.2774
"Dec 20, 2013",1.2770
"Dec 19, 2013",1.2771
"Dec 18, 2013",1.2772
"Dec 17, 2013",1.2770
"Dec 16, 2013",1.2774
"Dec 13, 2013",1.2775
"Dec 12, 2013",1.2772
"Dec 11, 2013",1.2770
"Dec 10, 2013",1.2775
"Dec 09, 2013",1.2771
"Dec 06, 2013",1.2754
"Dec 05, 2013",1.2727
"Dec 04, 2013",1.2729
"Dec 03, 2013",1.2725
"Dec 02, 2013",1.2724
"Nov 29, 2013",1.2726
"Nov 28, 2013",1.2728
"Nov 27, 2013",1.2726
"Nov 26, 2013",1.2724
"Nov 25, 2013",1.2728
"Nov 22, 2013",1.2723
"Nov 21, 2013",1.2718
"Nov 20, 2013",1.2720
"Nov 19, 2013",1.2722
"Nov 18, 2013",1.2723
"Nov 15, 2013",1.2727
"Nov 14, 2013",1.2726
"Nov 13, 2013",1.2720
"Nov 12, 2013",1.2724
"Nov 11, 2013",1.2728
"Nov 08, 2013",1.2729
"Nov 07, 2013",1.2725
"Nov 06, 2013",1.2724
"Nov 05, 2013",1.2712
"Nov 04, 2013",1.2713
"Nov 01, 2013",1.2707
"Oct 31, 2013",1.2716
"Oct 30, 2013",1.2724
"Oct 29, 2013",1.2729
"Oct 28, 2013",1.2741
"Oct 25, 2013",1.2745
"Oct 24, 2013",1.2752
"Oct 23, 2013",1.2747
